price,availability_30
60,30
99,7
99,12
79,30
249,2
45,30
180,30
70,10
120,18
237.12,4
90,14
85,29
140,29
90,29
167,30
95,23
130,30
60,26
564,30
135,7
225,30
714,30
131,30
241,27
140,17
245,2
264,30
75,29
135,30
362,30
85,30
104,30
107,21
31,28
45,29
100,19
291,30
366,30
594,30
337,30
402,30
402,30
366,30
60,30
402,30
450,30
45,30
40,29
98,30
174,29
80,29
62,30
180,30
135,30
61,30
72,29
90,29
36,24
153,27
100,28
75,29
64,30
120,11
191,30
49,29
193,29
75,29
120,30
72,9
100,20
100,19
129,27
85,19
729,30
80,28
120,29
68,29
68,30
62,29
167,30
135,19
31,30
86,30
145,30
115,30
67,29
109,30
371,23
361,29
250,30
181,19
76,30
90,28
55,29
64,30
419,27
77,30
66,19
41,30
65,30
87,30
195,23
45,30
196,30
98,30
145,29
100,30
211,30
125,30
62,29
77.86,30
115,30
80,30
158,3
55,29
70,29
100,30
95,27
129,10
80,23
75,30
110,2
75,23
250,29
72,30
25,30
35,20
205,5
250,23
80,4
306,29
100,30
313.57,28
95,30
500,29
154,29
195,27
120,4
290,28
363,5
135,6
534,30
99,30
64,15
95,2
182,29
258,11
106,29
86,30
220,24
120,24
89,28
219,30
181,28
70,28
120,12
85,28
60,23
115,30
167,6
160,11
200,28
115,24
230,30
79,29
75,18
233,24
169,29
183,28
199,28
59,12
169,3
721,27
27,14
60,19
162,30
95,20
66,30
169,29
87,29
56,26
103,12
112,8
75,10
1025,28
220,28
135,30
100,14
85,30
121,28
133,30
133,19
111,30
690,22
400,26
44,29
105,30
75,15
140,12
150,28
190,8
270,30
359,30
175,27
204,30
135,7
168,30
163,30
950,29
65,9
38,29
190,18
35,29
500,29
199,29
100,19
95,29
65,19
264,30
51,29
95,19
160,30
248,30
195,30
68,30
99,29
80,23
195,11
102,30
55,29
182,27
200,29
155,13
100,29
150,30
80,30
95,29
300,11
205,5
55,28
564,30
117,28
70,23
114,10
59,20
53,29
145,30
69,28
39,29
104,23
400,30
206,25
285,23
49,30
60,30
145,2
61,29
80,7
65,30
257,28
198,30
98,30
95,30
220,17
166,28
70,21
192,25
82,30
119,30
109,30
200,19
171,30
75,30
53,29
43,28
218,7
140,22
90,30
79,22
301,5
317,29
317,26
120,30
199,29
65,14
130,30
110,7
221,9
95,28
52,29
102,28
113,29
32,29
600,30
125,29
185,30
145,29
80,28
195,17
221,26
230,29
100,29
136,29
245,11
100,30
66,30
138,27
49,29
59,29
100,30
214,30
70,27
107,30
128,30
81,6
100,30
180,6
239,29
206,30
124,29
69,30
126,14
200,28
246,19
68,28
99,29
99,30
199,27
155,29
79,30
339,6
42,17
80,29
118,29
371,29
90,30
70,14
45,30
128,4
240,10
200,21
85,30
102,2
100,30
165,27
156,29
464,20
110,28
150,30
160,30
39,29
460,29
199,30
75,29
70,29
60,30
499,30
127,23
109,30
160,30
249,29
198,30
153,30
398,30
125,16
45,29
86,28
175,6
109,30
131,30
100,4
225,30
143,29
190,30
125,29
126,8
50,29
800,28
400,29
640,19
86,30
131,28
97,30
350,30
150,30
55,29
325,26
131,17
357,30
113,30
304,28
173,4
70,28
229,28
200,27
159,30
79,6
130,30
139,29
50,29
89,30
123,30
100,30
180,29
68,30
135,22
301,30
104,30
129,29
150,30
150,30
73,30
200,18
500,26
115,30
349,30
225,5
110,16
112,30
50,29
99,29
150,27
83,29
69,29
90,29
115,30
130,9
209,11
120,29
196,20
76,28
175,30
200,4
514,29
250,4
200,30
85,29
78,30
457,30
600,29
62,30
72,30
108,29
93,30
110,30
204,29
78,30
45,29
378,18
328,28
65,28
50,29
166,7
85,30
189,7
121,19
210.71,30
523.57,22
75,13
95,21
157,30
79,29
204,23
302,30
378,30
279,21
290,30
250,28
112,11
89,30
67,29
50,14
345,19
79,20
85,30
150,29
280,23
155,30
216,28
350,30
230,30
48,23
60,30
278,23
295,30
78,25
180,29
130,29
149,29
170,27
500,30
255,30
49,30
85,27
440,7
670,12
50,30
133,22
60,27
143,19
122,30
45,28
115,30
50,29
65,30
50,30
320,28
211,6
64,29
120,17
155,30
214.29,28
100,30
140,30
61,30
140,6
202,27
79,30
115,30
115,29
250,18
320,23
135,30
100,30
102.86,30
500,25
300,28
63,28
125,29
200,28
53,30
60,29
71,30
61,29
125,29
189,30
211,30
290,30
264,30
58,29
90,27
125,8
53,29
94,30
86,30
155,21
175,30
77,18
242,28
144,13
175,29
498,30
318,30
169,13
426,30
82,29
126,29
83,30
100,30
95,19
245,30
99,29
120,29
90,21
115,30
850,23
115,30
553,30
100,30
250,30
243,30
40,11
204,7
106,10
220,30
391,28
454,28
101,29
395,30
224,30
345,6
403,30
99,27
55,30
46,19
120,29
149,28
40,9
200,30
106,2
85,25
87,28
220,29
150,26
257,29
936,26
99,29
138,30
70,19
87,29
220,30
208.14,30
210,18
79,30
400,9
45,29
94,16
46,29
129,21
88,29
120,29
403,30
110,30
196,30
170,27
149,30
51,30
45,29
300,6
202,30
49,30
186,30
110,29
180,29
79,27
115,28
124,24
139,30
50,19
88,29
101,30
57,30
59,30
403,30
132.86,30
612,18
55,30
60,30
65,30
301,29
50,19
99,30
354,28
180,19
400,23
94,29
70,23
220,30
61,2
126,30
130,28
100,29
51,19
65,30
60,29
170,14
213,29
250,30
210,23
43,29
92,29
155,29
176,30
146,30
149,30
400,25
23,14
351,30
160,30
414,21
350,19
219,29
95,30
92,30
199,29
115,14
270,9
225,28
68,30
170,30
220,27
80,27
105,30
135,23
495,27
292,29
120,30
176,29
176,29
176,29
164,25
90,30
105,30
80,21
285,23
140,30
109,29
140,29
1500,19
25,29
45,30
64,30
164,29
79,21
163,30
34,29
66,28
44,29
152,29
76,30
154,30
200,29
178,29
34,29
60,30
100,8
165,5
60,6
300,27
180,30
49,29
73,30
999,29
141,27
34,29
100,30
79,30
34,29
34,29
34,29
166,5
39,26
230,23
180,6
103,27
68,3
87,22
120,29
236,2
483,26
69,28
120,30
105,29
95,29
45,27
87,6
88,5
356,30
100.71,8
70,29
68,29
49.79,30
255,30
350,27
138,30
85,28
107,27
50,28
547,22
50,30
102,19
119,28
74,23
89,30
35,30
332,2
38,19
159,30
206,30
150,29
60,19
68.29,20
48,29
205,30
182.29,30
240,2
85,29
34,29
164,6
135,29
180,12
34,29
150,28
200,29
224,30
104,6
350,22
259,6
279,30
279,19
102,30
82,30
184,29
280,29
133,28
225,30
170,22
786,19
70,30
31,23
70,5
185,29
89,19
203,27
36,20
60,30
50,30
107,29
30,30
89,30
175,26
190,29
109,19
82,19
76,30
183,6
130,30
35,30
190,19
120,29
286.14,30
80,29
60,29
175,27
77,5
107,23
100,29
100,30
260,30
34,29
186,25
136,27
139,28
176,29
175,29
222.86,30
764,28
64,30
85,18
149,30
160,29
110,30
100,30
314,28
100,30
50,29
290,29
165,30
693,23
25,29
80,27
85,30
87,4
95,29
209,27
65,29
210,29
89,29
109,28
75,4
78,30
69,6
60,28
74,29
160,25
80,4
120,29
100,27
76,6
60,29
110,30
100,22
150,24
222,29
236,30
180,29
70,30
80,29
114,29
159,14
200,23
231,29
350,30
59,19
220,29
174,28
239,30
150,7
120,26
168,29
450,28
37,25
180,30
32,29
121,29
139,29
110,30
75,30
47.71,29
71,29
66,30
60,30
280,30
44,27
52,30
350,29
154,28
109,30
60,6
450,28
780,29
500,29
135,30
66,29
181,30
95,30
150,30
38,26
38,20
202,5
91,26
80,29
278,2
79,30
37,16
300,30
190,29
78,25
89,30
81,29
75,30
278,30
85,30
80,29
39,29
41,29
62,29
89,10
130,20
20,28
146,30
82.86,30
91,29
93,30
49,30
200,28
304,30
146,30
58,30
96,28
350,23
110,18
149,29
190,25
220,23
68,28
275,29
110,23
69,6
153,28
96,28
165,30
45,30
48,19
76,29
299,23
85,12
289,29
194,6
176,2
199,28
50,13
370,29
314,29
151,30
400,2
99,30
99,29
89,29
326,23
793,5
56,29
85,27
119,30
85,27
110,30
96,30
269,29
130,27
146,30
190,9
85,29
85,29
270,29
279,29
243,19
1395,30
110,30
110,30
99,19
300,29
700,23
60,20
443,10
90,29
71,29
60,28
130,29
68,11
67,30
100,30
90.71,30
180,30
200,27
169,30
230,28
135,29
75,14
90,30
46,30
236,30
236,30
110,30
72,26
45,12
70,29
120,23
50,29
140,28
614,28
66,9
66,18
80,5
220,2
495,27
295,23
110,27
340,6
184,29
310,30
232,30
290,30
91,17
82,30
130,29
115,30
